Khối,Họ công việc,Họ công việc con
Vận hành nội bộ,1. Quản trị điều hành,
Vận hành nội bộ,"2. Công tác Đảng, Đoàn thể",Công tác Đảng
Vận hành nội bộ,"2. Công tác Đảng, Đoàn thể",Công tác Đoàn (Đoàn thanh niên)
Vận hành nội bộ,"2. Công tác Đảng, Đoàn thể",Công tác Công Đoàn
Vận hành nội bộ,3. Chiến lược,"Hoạch định, xây dựng chiến lược"
Vận hành nội bộ,3. Chiến lược,Tham mưu chiến lược
Vận hành nội bộ,3. Chiến lược,Quản trị chiến lược
Vận hành nội bộ,4. Nghiên cứu và phát triển (R&D),Chiến lược sản phẩm
Vận hành nội bộ,4. Nghiên cứu và phát triển (R&D),Nghiên cứu khoa học và công nghệ
Vận hành nội bộ,4. Nghiên cứu và phát triển (R&D),Phát triển sản phẩm mới
Vận hành nội bộ,4. Nghiên cứu và phát triển (R&D),Phát triển quan hệ đối tác
Vận hành nội bộ,5. Marketing & Truyền thông,Hoạch định chiến lược marketing
Vận hành nội bộ,5. Marketing & Truyền thông,Nghiên cứu thị trường 
Vận hành nội bộ,5. Marketing & Truyền thông,Sáng tạo nội dung
Vận hành nội bộ,5. Marketing & Truyền thông,"Quản lý kỹ thuật (SEO, quảng cáo, CRM, email MKT, kỹ thuật web…)"
Vận hành nội bộ,5. Marketing & Truyền thông,Tổ chức sự kiện
Vận hành nội bộ,5. Marketing và Truyền thông,Quản lý thương hiệu 
Vận hành nội bộ,5. Marketing và Truyền thông,Truyền thông
Vận hành nội bộ,5. Marketing và Truyền thông,Truyền thông nội bộ
Vận hành nội bộ,6. Kiểm soát tuân thủ ,Kiểm soát tuân thủ
Vận hành nội bộ,6. Kiểm soát tuân thủ ,Thanh kiểm tra
Vận hành nội bộ,7. Quản trị rủi ro,Quản trị rủi ro 
Vận hành nội bộ,8. Pháp chế,Pháp chế doanh nghiệp 
Vận hành nội bộ,8. Pháp chế,Bảo vệ quyền sở hữu trí tuệ
Vận hành nội bộ,8. Pháp chế,Quản trị văn bản quy phạm 
Vận hành nội bộ,8. Pháp chế,"Xử lý vi phạm, kỷ luật"
Vận hành nội bộ,9. Quản lý chất lượng,"Quản lý quy trình, nghiệp vụ, chính sách"
Vận hành nội bộ,9. Quản lý chất lượng,Kiểm soát chất lượng
Vận hành nội bộ,9. Quản lý chất lượng,"Kiểm soát quy trình, dịch vụ"
Vận hành nội bộ,9. Quản lý chất lượng,Quản lý chất lượng nhà cung cấp
Vận hành nội bộ,9. Quản lý chất lượng,Quản lý chất lượng kinh doanh chung
Vận hành nội bộ,9. Quản lý chất lượng,Quản lý thi đua khen thưởng
Vận hành nội bộ,10. Hành chính,Văn thư lưu trữ
Vận hành nội bộ,10. Hành chính,Di chuyển 
Vận hành nội bộ,10. Hành chính,Thông tin liên lạc
Vận hành nội bộ,10. Hành chính,Hội họp 
Vận hành nội bộ,10. Hành chính,"Quản lý trang thiết bị, tài sản"
Vận hành nội bộ,10. Hành chính,Vệ sinh 
Vận hành nội bộ,10. Hành chính,Cảnh quan
Vận hành nội bộ,10. Hành chính,"An ninh, an toàn"
Vận hành nội bộ,10. Hành chính,Y tế
Vận hành nội bộ,10. Hành chính,Thư ký
Vận hành nội bộ,11. Tổ chức - Nhân lực,Quản trị tổ chức
Vận hành nội bộ,11. Tổ chức - Nhân lực,Chiến lược & Quản trị nhân lực
Vận hành nội bộ,11. Tổ chức - Nhân lực,Đào tạo & Phát triển
Vận hành nội bộ,11. Tổ chức - Nhân lực,Tuyển dụng
Vận hành nội bộ,11. Tổ chức - Nhân lực,"Đãi ngộ lao động (Chấm công, lương - thưởng, phúc lợi..)"
Vận hành nội bộ,11. Tổ chức - Nhân lực,"Thủ tục, quan hệ lao động"
Vận hành nội bộ,11. Tổ chức - Nhân lực,Đánh giá nhân lực
Vận hành nội bộ,11. Tổ chức - Nhân lực,Gắn kết & Văn hóa doanh nghiệp
Vận hành nội bộ,11. Tổ chức - Nhân lực,An toàn vệ sinh lao động
Vận hành nội bộ,12. Kế hoạch,Xây dựng chiến lược và kế hoạch sản xuất kinh doanh
Vận hành nội bộ,12. Kế hoạch,"Quản lý, triển khai và giám sát thực hiện kế hoạch"
Vận hành nội bộ,12. Kế hoạch,Quản lý cơ chế chính sách
Vận hành nội bộ,12. Kế hoạch,Quản lý định mức
Vận hành nội bộ,12. Kế hoạch,Quản lý giá thành dịch vụ
Vận hành nội bộ,12. Kế hoạch,Quản lý viễn thông công ích
Vận hành nội bộ,12. Kế hoạch,"Quản trị mục tiêu chiến lược (BSC, OKR)"
Vận hành nội bộ,13. Đầu tư,"Kế hoạch đầu tư, vốn, mua sắm tập trung"
Vận hành nội bộ,13. Đầu tư,Thẩm định dự án đầu tư
Vận hành nội bộ,13. Đầu tư,Giám sát hiệu quả đầu tư
Vận hành nội bộ,13. Đầu tư,Quản lý dự án
Vận hành nội bộ,14. Kế toán,"Xây dựng hệ thống, quy trình, chính sách về kế toán"
Vận hành nội bộ,14. Kế toán,Quản lý chi phí
Vận hành nội bộ,14. Kế toán,Quản lý thanh toán
Vận hành nội bộ,14. Kế toán,Quản lý thuế
Vận hành nội bộ,14. Kế toán,Quản lý công nợ
Vận hành nội bộ,14. Kế toán,Quản lý tiền lương
Vận hành nội bộ,14. Kế toán,Quản lý tài sản
Vận hành nội bộ,14. Kế toán,Quản lý xây dựng 
Vận hành nội bộ,14. Kế toán,"Quản lý kho (vật tư, hàng hóa)"
Vận hành nội bộ,14. Kế toán,Quản lý doanh thu
Vận hành nội bộ,14. Kế toán,Kế toán Tổng hợp
Vận hành nội bộ,15. Tài chính,Xây dựng chính sách chế độ tài chính
Vận hành nội bộ,15. Tài chính,"Kế hoạch, Ngân sách, dự báo Tài chính"
Vận hành nội bộ,15. Tài chính,Quản lý tài chính
Vận hành nội bộ,15. Tài chính,"Quản lý, kiểm tra giám sát"
Vận hành nội bộ,15. Tài chính,"Báo cáo, Phân tích & thống kê Tài chính "
Vận hành nội bộ,15. Tài chính,Quản lý nguồn vốn
Vận hành nội bộ,15. Tài chính,Quản lý dòng tiền
Vận hành nội bộ,15. Tài chính,Quản lý đầu tư tài chính
Vận hành nội bộ,16. Quản lý chuỗi cung ứng,Quản lý nguồn cung cấp
Vận hành nội bộ,16. Quản lý chuỗi cung ứng,Mua hàng
Vận hành nội bộ,16. Quản lý chuỗi cung ứng,Quản trị nhà cung cấp
Vận hành nội bộ,16. Quản lý chuỗi cung ứng,Đấu thầu
Vận hành nội bộ,16. Quản lý chuỗi cung ứng,Xử lý khiếu nại về sản phẩm
Vận hành nội bộ,16. Quản lý chuỗi cung ứng,Quản lý hợp đồng
Vận hành nội bộ,16. Quản lý chuỗi cung ứng,"Quản lý kho (vật tư, hàng hóa)"
Vận hành nội bộ,17. Công nghệ thông tin nội bộ,Bảo mật CNTT
Vận hành nội bộ,17. Công nghệ thông tin nội bộ,Phát triển ứng dụng CNTT
Vận hành nội bộ,17. Công nghệ thông tin nội bộ,Vận hành CNTT
Vận hành nội bộ,17. Công nghệ thông tin nội bộ,Chuyển đổi kỹ thuật số
Vận hành nội bộ,17. Công nghệ thông tin nội bộ,Quản lý thay đổi 
Kinh doanh kỹ thuật,1. Quản trị điều hành,
Kinh doanh kỹ thuật,2. Trải nghiệm khách hàng,Quản lý chu kỳ khách hàng (Customer Lifetime Management)
Kinh doanh kỹ thuật,2. Trải nghiệm khách hàng,Thiết kế & Phát triển trải nghiệm (Experience Design & Development)
Kinh doanh kỹ thuật,2. Trải nghiệm khách hàng,Thông tin khách hàng & Đo lường 
Kinh doanh kỹ thuật,2. Trải nghiệm khách hàng,Chiến lược kênh (Channel strategy)
Kinh doanh kỹ thuật,3. Quản lý nội dung,Vận hành nội dung (Content Operations)
Kinh doanh kỹ thuật,3. Quản lý nội dung,Quản lý nội dung (Content Management)
Kinh doanh kỹ thuật,3. Quản lý nội dung,Đối tác & Liên minh (Partnership & Alliances)
Kinh doanh kỹ thuật,4. Quản lý sản phẩm & kỹ thuật,Quản lý sản phẩm (Product Management)
Kinh doanh kỹ thuật,4. Quản lý sản phẩm & kỹ thuật,Đảm bảo chất lượng (Quality Assurance)
Kinh doanh kỹ thuật,4. Quản lý sản phẩm & kỹ thuật,Tích hợp và phân phối/ cập nhật liên tục phiên bản mới (Continuous Integration (CI) & Continuous Delivery (CD))
Kinh doanh kỹ thuật,4. Quản lý sản phẩm & kỹ thuật,Đổi mới sản phẩm (Product Innovation)
